,artist,album,track_name,track_id,release_date,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
40,Ariana Grande,My Everything (Deluxe),One Last Time,7xoUc6faLbCqZO6fQEYprd,2014-08-22,0.628,0.593,8,-5.036,1,0.0323,1.65e-06,0.096,0.104,125.026,197267,4
41,The Weeknd,"My Dear Melancholy,",Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,2018-03-29,0.489,0.598,1,-4.929,1,0.036,0.0,0.35,0.172,134.045,228373,3
42,Shawn Mendes,Señorita,Señorita,0TK2YIli7K1leLovkQiNik,2019-06-21,0.759,0.54,9,-6.039,0,0.0287,0.0,0.0945,0.75,116.947,190960,4
43,Queen,Jazz (Deluxe Remastered Version),Don't Stop Me Now - Remastered 2011,7hQJA50XrCWABAu5v6QZ4i,1978-11-10,0.563,0.865,5,-5.277,1,0.16,0.000191,0.77,0.601,156.271,209413,4
44,Jonas Brothers,Sucker,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,0.842,0.734,1,-5.065,0,0.0588,0.0,0.106,0.952,137.958,181040,4
45,Jonas Brothers,Happiness Begins,Only Human,0DiDStADDVh3SvAsoJAFMk,2019-06-07,0.795,0.496,0,-5.883,1,0.0722,0.0,0.0645,0.874,94.01,183000,4
46,Ariana Grande,7 rings,7 rings,14msK75pk3pA33pzPVNtBF,2019-01-18,0.725,0.321,1,-10.744,0,0.323,0.0,0.0884,0.319,70.142,178640,4
47,Demi Lovato,Confident (Deluxe Edition),Cool for the Summer,2zFF6jG5hQArbzcXz3KUWk,2015-10-16,0.583,0.61,5,-5.639,0,0.0382,0.000105,0.14,0.336,114.06,214740,4
48,Lady Gaga,The Fame,Poker Face,0WfKDYeUAoLA3vdvLKKWMW,2008-01-01,0.851,0.806,4,-4.618,1,0.0786,1.33e-06,0.121,0.776,119.001,237200,4
49,Demi Lovato,Tell Me You Love Me,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0,2017-09-29,0.702,0.635,11,-6.917,0,0.265,0.0,0.283,0.873,144.004,203760,4
50,Rihanna,ANTI,Needed Me,1Tt4sE4pXi57mTD1GCzsqm,2016-01-28,0.671,0.314,5,-8.091,0,0.244,0.0,0.0825,0.296,110.898,191600,4
51,Ariana Grande,Dangerous Woman,Into You,2meEiZKWkiN28gITzFwQo5,2016-05-20,0.623,0.734,9,-5.948,1,0.107,1.75e-06,0.145,0.37,107.853,244453,4
52,Beyoncé,I AM...SASHA FIERCE,Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,2008-11-17,0.426,0.584,1,-5.293,1,0.296,0.0,0.188,0.272,193.437,193213,4
53,Ariana Grande,Dangerous Woman,Dangerous Woman,7l94dyN2hX9c6wWcZQuOGJ,2016-05-20,0.664,0.602,4,-5.369,0,0.0412,0.0,0.356,0.289,134.049,235947,3
54,Fifth Harmony,Reflection (Deluxe),Worth It (feat. Kid Ink),41Fflg7qHiVOD6dEPvsCzO,2015-01-30,0.884,0.765,8,-3.865,1,0.0882,7.04e-06,0.118,0.594,99.987,224573,4
55,blackbear,hot girl bummer,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,2019-08-23,0.778,0.559,6,-7.109,0,0.0776,0.0,0.399,0.678,129.989,185093,1
56,Taylor Swift,Lover,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,2019-08-23,0.552,0.702,9,-5.707,1,0.157,2.06e-05,0.105,0.564,169.994,178427,4
57,Harry Styles,Fine Line,Falling,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,0.567,0.267,4,-6.502,1,0.0299,1.46e-06,0.089,0.0592,110.011,240133,4
58,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,194088,4
59,Fergie,The Dutchess,Fergalicious,1D066zixBwqFYqBhKgdPzp,2006-09-13,0.906,0.583,8,-7.721,0,0.317,0.0,0.126,0.829,129.056,292373,4
60,Fifth Harmony,7/27 (Deluxe),Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,2016-05-27,0.803,0.585,8,-5.861,1,0.0432,3.94e-06,0.0644,0.593,105.017,214480,4
61,Waka Flocka Flame,Flockaveli,No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,2010-10-01,0.76,0.595,1,-6.366,1,0.0391,0.0,0.241,0.361,131.497,263773,4
62,Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2018-04-19,0.351,0.296,4,-10.109,0,0.0333,0.0,0.095,0.12,115.284,200186,4
63,Taylor Swift,1989 (Big Machine Radio Release Special),Style,4D7kxLhSz7siCOw7KA5rQn,2014-10-27,0.588,0.791,7,-5.595,1,0.0402,0.00258,0.118,0.487,94.933,231000,4
64,Bruno Mars,24K Magic,24K Magic,6b8Be6ljOzmkOmFslEb23P,2016-11-17,0.818,0.803,1,-4.282,1,0.0797,0.0,0.153,0.632,106.97,225983,4
65,One Direction,FOUR (Deluxe),Night Changes,5O2P9iiztwhomNh8xkR9lJ,2014-11-17,0.672,0.52,8,-7.747,1,0.0353,0.0,0.115,0.37,120.001,226600,4
66,Demi Lovato,Demi,Heart Attack,1V6gIisPpYqgFeWbMLI0bA,2013-01-01,0.504,0.785,8,-4.802,1,0.104,0.0,0.239,0.502,173.968,210840,4
67,Jessie J,Sweet Talker,Bang Bang,1rW6UUZRQWW34j4zCQDkfX,2014-10-13,0.706,0.783,0,-3.441,0,0.1,0.0,0.373,0.739,150.045,199373,4
68,Major Lazer,Cold Water,Cold Water,7zsXy7vlHdItvUSH8EwQss,2016-07-22,0.608,0.798,6,-5.092,0,0.0432,0.0,0.156,0.501,92.943,185360,4
69,One Direction,FOUR (Deluxe),18,3JjnGLK8IxkNLvo8Lb3KOM,2014-11-17,0.681,0.582,6,-7.76,0,0.0313,0.0,0.119,0.221,124.038,248360,4
70,One Direction,Made In The A.M. (Deluxe Edition),Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,2015-11-13,0.73,0.703,0,-5.672,0,0.0369,0.0,0.0657,0.595,138.113,192120,4
71,Halsey,Without Me,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,0.752,0.488,6,-7.05,1,0.0705,9.11e-06,0.0936,0.533,136.041,201661,4
72,Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",Miss Jackson (feat. LOLO),46Kcradxrva9Dny4lHU1b3,2013-10-04,0.642,0.873,2,-5.821,1,0.0551,0.0,0.175,0.662,82.002,192053,4
73,Halsey,Without Me,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,0.752,0.488,6,-7.05,1,0.0705,9.11e-06,0.0936,0.533,136.041,201661,4
74,Panic! At The Disco,Death of a Bachelor,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,2016-01-15,0.506,0.817,11,-5.051,0,0.0335,0.0,0.0486,0.506,109.952,208707,4
75,Panic! At The Disco,Death of a Bachelor,"The Good, the Bad and the Dirty",5eoZTdiq4C4aoEfUwAN0ha,2016-01-15,0.531,0.825,7,-5.333,0,0.0545,0.0,0.329,0.824,156.071,171520,4
76,Panic! At The Disco,Death of a Bachelor,Crazy = Genius,6V68ItawQkQlZhYIf1S86C,2016-01-15,0.455,0.91,2,-4.464,1,0.166,0.0,0.107,0.447,114.109,198040,4
77,Panic! At The Disco,Death of a Bachelor,Death of a Bachelor,1BECwm5qkaBwlbfo4kpYx8,2016-01-15,0.462,0.538,0,-5.527,1,0.059,0.0,0.429,0.405,139.256,203507,4
78,Panic! At The Disco,Death of a Bachelor,Victorious,6od5hFv9IT5JHc7NEF9HRv,2016-01-15,0.57,0.865,8,-4.518,1,0.0472,0.0,0.404,0.691,110.01,178600,4
79,Panic! At The Disco,Pray for the Wicked,Say Amen (Saturday Night),76vMKwFtdDDCLcM6zXybjB,2018-06-22,0.491,0.867,6,-2.313,0,0.103,0.0,0.458,0.602,167.965,189187,4
80,Panic! At The Disco,Pray for the Wicked,The Overpass,4hUR3thIs01mQUtVmZFJ8F,2018-06-22,0.517,0.955,10,-1.848,0,0.167,0.0,0.364,0.61,132.951,177800,4
81,Panic! At The Disco,Pray for the Wicked,King of the Clouds,50Hv5NZIM0puIUoBttjpfb,2018-06-22,0.285,0.922,2,-1.932,0,0.247,0.0,0.159,0.472,198.063,160747,3
82,Panic! At The Disco,Pray for the Wicked,Dying in LA,18xmRkPWE0sGUzFyNNAAhN,2018-06-22,0.346,0.35,2,-4.988,1,0.0328,1.98e-06,0.0708,0.315,126.444,229053,4
83,Bruno Mars,Doo-Wops & Hooligans,Grenade,4lLtanYk6tkMvooU0tWzG8,2010-10-05,0.704,0.558,2,-7.273,0,0.0542,0.0,0.107,0.245,110.444,222091,4
84,Sia,1000 Forms Of Fear,Chandelier,4VrWlk8IQxevMvERoX08iC,2014-07-04,0.399,0.787,1,-2.88,1,0.0499,6.07e-05,0.0685,0.572,117.089,216120,5
85,Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,2012-12-07,0.726,0.698,5,-4.165,1,0.0431,0.0,0.309,0.867,143.994,233478,4
86,Adele,21,Set Fire to the Rain,5PKWUDfQFtc5qqo8cs1gQp,2011-01-19,0.603,0.67,2,-3.882,0,0.0249,1.66e-06,0.112,0.445,107.995,242974,4
87,Hozier,Hozier,Take Me to Church,0aOluBqXYd0rFSCsgDyAWX,2014-10-07,0.575,0.664,4,-5.303,0,0.0481,0.0,0.116,0.437,129.07,241693,4
88,Gotye,Making Mirrors,Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,2011-01-01,0.865,0.521,0,-6.932,1,0.0371,0.000115,0.0989,0.748,129.059,244885,4
89,Taylor Swift,reputation,Delicate,7CneiDesUKFJO3Ix01dnfr,2017-11-10,0.75,0.404,9,-10.178,0,0.0682,0.000357,0.0911,0.0499,95.045,232253,4
90,Various Artists,Fifty Shades Darker (Original Motion Picture Soundtrack),I Don’t Wanna Live Forever (Fifty Shades Darker),2y5aJvzXhHPA94U5GFAcXe,2017-02-10,0.734,0.442,0,-8.432,1,0.0557,1.63e-05,0.213,0.0973,117.967,245653,4
91,Maroon 5,V,Sugar,2iuZJX9X9P0GKaE93xcPjk,2014-09-02,0.748,0.788,1,-7.055,1,0.0334,0.0,0.0863,0.884,120.076,235493,4
92,Maroon 5,Overexposed,Payphone,1LmN9SSHISbtp9LoaR5ZVJ,2021-06-20,0.739,0.756,4,-4.828,1,0.0394,0.0,0.37,0.523,110.028,231387,4
93,Taylor Swift,reputation,Getaway Car,5YPTYLMdNEgk7CPNPqqFyA,2017-11-10,0.562,0.689,2,-6.745,1,0.127,2.23e-06,0.0888,0.351,172.054,233627,4
94,Maroon 5,Overexposed (Deluxe),One More Night,4XNrMwGx1SqP01sqkGTDmo,2012-01-01,0.718,0.82,5,-3.453,0,0.0323,0.0,0.0846,0.613,92.998,219467,4
95,5 Seconds of Summer,5 Seconds Of Summer,She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,2014-06-27,0.494,0.951,9,-4.237,1,0.132,0.0,0.327,0.441,160.025,202496,4
96,Dua Lipa,Dua Lipa (Deluxe),New Rules,2ekn2ttSfGqwhhate0LSR0,2017-06-02,0.762,0.7,9,-6.021,0,0.0694,1.56e-05,0.153,0.608,116.073,209320,4
97,Katy Perry,PRISM (Deluxe),Dark Horse,5jrdCoLpJSvHHorevXBATy,2013-10-18,0.645,0.585,6,-6.122,1,0.0513,0.0,0.165,0.353,131.931,215672,4
98,Fall Out Boy,American Beauty/American Psycho,Centuries,04aAxqtGp5pv12UXAg4pkq,2015-01-16,0.393,0.858,4,-2.868,0,0.0729,0.0,0.102,0.56,176.042,228360,4
99,Maroon 5,V (Deluxe),Maps,0DKT3yIip1M0W0J1HYS1ru,2014-08-29,0.741,0.715,1,-5.497,0,0.0293,0.0,0.0576,0.847,120.032,189973,4
100,Fall Out Boy,American Beauty/American Psycho,Centuries,04aAxqtGp5pv12UXAg4pkq,2015-01-16,0.393,0.858,4,-2.868,0,0.0729,0.0,0.102,0.56,176.042,228360,4
101,Fall Out Boy,American Beauty/American Psycho,Uma Thurman,5PUawWFG1oIS2NwEcyHaCr,2015-01-16,0.623,0.962,4,-2.616,0,0.0895,0.000174,0.264,0.676,149.963,211573,4
102,Fall Out Boy,Save Rock And Roll,My Songs Know What You Did In The Dark (Light Em Up),2E43WFS4rRc09za2r2GmZl,2013-04-12,0.558,0.924,9,-4.341,0,0.064,3.32e-06,0.537,0.567,151.99,186827,4
103,Fall Out Boy,Save Rock And Roll,The Phoenix,7jwDuO7UZvWs77KNj9HbvF,2013-04-12,0.562,0.964,4,-2.991,0,0.072,1.57e-06,0.579,0.41,138.063,244960,4
104,The Weeknd,Starboy,Starboy,7lQqaqZu0vjxzpdATOIsDt,2016-09-22,0.68,0.594,7,-7.021,1,0.28,2.35e-06,0.134,0.475,186.04,230467,4
105,Adele,25,Hello,4sPmO7WMQUAf45kwMOtONw,2016-06-24,0.481,0.451,5,-6.095,0,0.0347,0.0,0.0872,0.289,157.966,295493,4
106,Justin Bieber,Purpose (Deluxe),Love Yourself,50kpGaPAhYJ3sGmk6vplg0,2015-11-13,0.609,0.378,4,-9.828,1,0.438,0.0,0.28,0.515,100.418,233720,4
107,Ariana Grande,Sweetener,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,2018-08-17,0.699,0.713,9,-5.507,0,0.0594,3.11e-06,0.294,0.354,121.993,205920,4
108,Drake,Views,One Dance,1zi7xx7UVEFkmKfv06H8x0,2016-05-06,0.792,0.625,1,-5.609,1,0.0536,0.0018,0.329,0.37,103.967,173987,4
109,blackbear,do re mi,do re mi,3sTCfUmYXSVWDacTd6uMbQ,2017-03-18,0.747,0.592,8,-6.334,1,0.0457,1.48e-05,0.124,0.176,110.991,212027,3
110,The Notorious B.I.G.,Greatest Hits,Hypnotize - 2007 Remaster,6Tsu3OsuMz4KEGKbOYd6A0,2007-03-05,0.895,0.694,9,-4.384,1,0.275,0.0,0.292,0.632,93.944,230000,4
